Tag,BUSY_SPINS,Rate,NUM_E / NUM_W,EXECUTOR_BW_MBPS,WRITEBACK_EXECUTOR,EXECUTOR_SKEW_WEIGHTS,DISTRIBUTED_TX_RATE,NO_SEND_PAYMENT,Committed TPS,E2E TPS,Command
62f2365,"135,156",25000,1,10000,0,1,0,1,23296,22437,REPLAY_CSV=record_rate25k.csv NUM_WORKERS=1 NUM_EXECUTORS=1 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",50000,2,10000,0,"1,1",0,1,46624,43917,"REPLAY_CSV=record_rate50k.csv NUM_WORKERS=2 NUM_EXECUTORS=2 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",75000,3,10000,0,"2,1,1",0,1,69242,57764,"REPLAY_CSV=record_rate75k.csv NUM_WORKERS=3 NUM_EXECUTORS=3 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=2,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",100000,4,10000,0,"3,1,1,1",0,1,93252,79215,"REPLAY_CSV=record_rate100k.csv NUM_WORKERS=4 NUM_EXECUTORS=4 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=3,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",125000,5,10000,0,"4,1,1,1,1",0,1,112103,98789,"REPLAY_CSV=record_rate125k.csv NUM_WORKERS=5 NUM_EXECUTORS=5 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=4,1,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",150000,6,10000,0,"5,1,1,1,1,1",0,1,130329,112033,"REPLAY_CSV=record_rate150k.csv NUM_WORKERS=6 NUM_EXECUTORS=6 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=5,1,1,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",175000,7,10000,0,"6,1,1,1,1,1,1",0,1,150280,137488,"REPLAY_CSV=record_rate175k.csv NUM_WORKERS=7 NUM_EXECUTORS=7 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=6,1,1,1,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",200000,8,10000,0,"7,1,1,1,1,1,1,1",0,1,182635,153687,"REPLAY_CSV=record_rate200k.csv NUM_WORKERS=8 NUM_EXECUTORS=8 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 EXECUTOR_SKEW_WEIGHTS=7,1,1,1,1,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",25000,1,10000,1,1,0,1,23282,19590,REPLAY_CSV=record_rate25k.csv NUM_WORKERS=1 NUM_EXECUTORS=1 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",50000,2,10000,1,"1,1",0,1,46624,39120,"REPLAY_CSV=record_rate50k.csv NUM_WORKERS=2 NUM_EXECUTORS=2 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",75000,3,10000,1,"2,1,1",0,1,69642,53735,"REPLAY_CSV=record_rate75k.csv NUM_WORKERS=3 NUM_EXECUTORS=3 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=2,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",100000,4,10000,1,"3,1,1,1",0,1,92861,66191,"REPLAY_CSV=record_rate100k.csv NUM_WORKERS=4 NUM_EXECUTORS=4 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=3,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",125000,5,10000,1,"4,1,1,1,1",0,1,112103,76040,"REPLAY_CSV=record_rate125k.csv NUM_WORKERS=5 NUM_EXECUTORS=5 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=4,1,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
62f2365,"135,156",150000,6,10000,1,"5,1,1,1,1,1",0,1,130242,85188,"REPLAY_CSV=record_rate150k.csv NUM_WORKERS=6 NUM_EXECUTORS=6 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 EXECUTOR_SKEW_WEIGHTS=5,1,1,1,1,1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml"
