Tag,BUSY_SPINS,Rate,NUM_E / NUM_W,EXECUTOR_BW_MBPS,WRITEBACK_EXECUTOR,EXECUTOR_SKEW_WEIGHTS,DISTRIBUTED_TX_RATE,NO_SEND_PAYMENT,Committed TPS,E2E TPS,Command
62f2365,"135,156",25000,1,10000,0,Equal,0,1,,,REPLAY_CSV=record_rate25k.csv NUM_WORKERS=1 NUM_EXECUTORS=1 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",50000,2,10000,0,Equal,0,1,,,REPLAY_CSV=record_rate50k.csv NUM_WORKERS=2 NUM_EXECUTORS=2 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",75000,3,10000,0,Equal,0,1,,,REPLAY_CSV=record_rate75k.csv NUM_WORKERS=3 NUM_EXECUTORS=3 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",100000,4,10000,0,Equal,0,1,,,REPLAY_CSV=record_rate100k.csv NUM_WORKERS=4 NUM_EXECUTORS=4 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",125000,5,10000,0,Equal,0,1,,,REPLAY_CSV=record_rate125k.csv NUM_WORKERS=5 NUM_EXECUTORS=5 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",150000,6,10000,0,Equal,0,1,,,REPLAY_CSV=record_rate150k.csv NUM_WORKERS=6 NUM_EXECUTORS=6 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",175000,7,10000,0,Equal,0,1,,,REPLAY_CSV=record_rate175k.csv NUM_WORKERS=7 NUM_EXECUTORS=7 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",200000,8,10000,0,Equal,0,1,,,REPLAY_CSV=record_rate200k.csv NUM_WORKERS=8 NUM_EXECUTORS=8 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 NEW_SCHEDULER=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",25000,1,10000,1,Equal,0,1,,,REPLAY_CSV=record_rate25k.csv NUM_WORKERS=1 NUM_EXECUTORS=1 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
62f2365,"135,156",50000,2,10000,1,Equal,0,1,,,REPLAY_CSV=record_rate50k.csv NUM_WORKERS=2 NUM_EXECUTORS=2 EXECUTOR_BW_MBPS=10000 DURATION=80 NO_SEND_PAYMENT=1 WRITEBACK_EXECUTOR=1 fab cloudlab-replay --username zpkhor --manifest /home/garvit/manifest.xml
