seed,scheduler,tx_size_dist,cross_shard_prob,overlap_prob,zipf_alpha,avg_remote_reads_per_batch,avg_runtime_per_batch_s
0,best_program,light,0.25,0.0,0.8,1152.2,0.001482
0,paper,light,0.25,0.0,0.8,1136.8,1.352099
0,best_program,light,0.25,0.0,1.2,1355.0,0.001217
0,paper,light,0.25,0.0,1.2,896.4,1.35683
0,best_program,light,0.25,0.3,0.8,1198.0,0.001459
0,paper,light,0.25,0.3,0.8,1145.8,1.36211
0,best_program,light,0.25,0.3,1.2,1366.0,0.00117
0,paper,light,0.25,0.3,1.2,882.6,1.357349
0,best_program,light,0.25,0.6,0.8,1199.2,0.001421
0,paper,light,0.25,0.6,0.8,1103.8,1.33513
0,best_program,light,0.25,0.6,1.2,1383.0,0.001137
0,paper,light,0.25,0.6,1.2,881.2,1.373737
0,best_program,light,0.25,0.9,0.8,1281.4,0.001305
0,paper,light,0.25,0.9,0.8,1089.6,1.335902
0,best_program,light,0.25,0.9,1.2,1393.0,0.001323
0,paper,light,0.25,0.9,1.2,866.8,1.404126
0,best_program,light,0.5,0.0,0.8,1128.6,0.00153
0,paper,light,0.5,0.0,0.8,1107.0,1.295521
0,best_program,light,0.5,0.0,1.2,1363.0,0.001265
0,paper,light,0.5,0.0,1.2,873.6,1.297138
0,best_program,light,0.5,0.3,0.8,1175.4,0.001545
0,paper,light,0.5,0.3,0.8,1110.6,1.305302
0,best_program,light,0.5,0.3,1.2,1366.2,0.001262
0,paper,light,0.5,0.3,1.2,848.0,1.269586
0,best_program,light,0.5,0.6,0.8,1214.8,0.001417
0,paper,light,0.5,0.6,0.8,1088.4,1.260041
0,best_program,light,0.5,0.6,1.2,1369.6,0.00121
0,paper,light,0.5,0.6,1.2,863.6,1.280761
0,best_program,light,0.5,0.9,0.8,1286.2,0.001474
0,paper,light,0.5,0.9,0.8,1080.6,1.254363
0,best_program,light,0.5,0.9,1.2,1366.4,0.001172
0,paper,light,0.5,0.9,1.2,839.2,1.257208
0,best_program,light,0.75,0.0,0.8,1148.2,0.001528
0,paper,light,0.75,0.0,0.8,1116.6,1.251777
