seed,scheduler,tx_size_dist,batch_size,num_executors,avg_remote_reads_per_batch,avg_runtime_per_batch_s
0,best_program,medium,128,4,248.2,0.000244
0,paper,medium,128,4,210.4,0.026976
0,best_program,medium,128,8,309.8,0.00023
0,paper,medium,128,8,276.2,0.058221
0,best_program,medium,128,16,362.2,0.000216
0,paper,medium,128,16,332.8,0.128899
0,best_program,medium,128,20,364.2,0.000238
0,paper,medium,128,20,338.0,0.149235
0,best_program,medium,256,4,490.0,0.000423
0,paper,medium,256,4,395.6,0.073993
0,best_program,medium,256,8,605.8,0.000388
0,paper,medium,256,8,522.2,0.186426
0,best_program,medium,256,16,706.6,0.000415
0,paper,medium,256,16,658.6,0.434395
0,best_program,medium,256,20,699.6,0.000426
0,paper,medium,256,20,640.4,0.517259
0,best_program,medium,512,4,1020.2,0.000802
0,paper,medium,512,4,750.8,0.27411
0,best_program,medium,512,8,1244.4,0.000839
0,paper,medium,512,8,1037.0,0.698932
0,best_program,medium,512,16,1406.8,0.000908
0,paper,medium,512,16,1272.8,1.460795
0,best_program,medium,512,20,1425.6,0.000903
0,paper,medium,512,20,1320.2,1.932517
0,best_program,medium,1000,4,2019.6,0.001624
0,paper,medium,1000,4,1344.8,0.894214
0,best_program,medium,1000,8,2422.2,0.001659
0,paper,medium,1000,8,1941.0,2.259846
0,best_program,medium,1000,16,2715.4,0.00153
0,paper,medium,1000,16,2370.2,4.634434
0,best_program,medium,1000,20,2776.4,0.001653
0,paper,medium,1000,20,2475.4,6.064925
0,best_program,heavy,128,4,567.6,0.000376
0,paper,heavy,128,4,516.0,0.083483
0,best_program,heavy,128,8,721.4,0.000362
0,paper,heavy,128,8,726.6,0.173854
0,best_program,heavy,128,16,812.8,0.000369
0,paper,heavy,128,16,832.2,0.451739
0,best_program,heavy,128,20,834.8,0.000392
0,paper,heavy,128,20,843.0,0.487272
0,best_program,heavy,256,4,1077.8,0.000835
0,paper,heavy,256,4,1000.0,0.254382
0,best_program,heavy,256,8,1371.2,0.000784
0,paper,heavy,256,8,1417.4,0.543442
0,best_program,heavy,256,16,1585.0,0.000754
0,paper,heavy,256,16,1607.2,1.134073
0,best_program,heavy,256,20,1612.4,0.000704
0,paper,heavy,256,20,1641.6,1.534368
0,best_program,heavy,512,4,2107.8,0.001316
0,paper,heavy,512,4,1994.0,0.758047
0,best_program,heavy,512,8,2684.4,0.001338
0,paper,heavy,512,8,2777.2,1.578534
0,best_program,heavy,512,16,3049.6,0.001346
0,paper,heavy,512,16,3140.8,3.195156
0,best_program,heavy,512,20,3104.0,0.001346
